,ResponseId,MainBranch,Employment,RemoteWork,EdLevel,YearsCode,OrgSize,Country,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,WorkExp,ConvertedCompYearly
212,213,2,2,1,1,1,7,14,5,1,No,Straight / Heterosexual,1,1,0.0,27641
214,215,2,2,3,1,2,3,1,5,1,No,Straight / Heterosexual,1,1,0.0,75000
218,219,1,2,2,2,5,4,12,1,1,No,Bisexual,2,1,2.0,85315
222,223,2,2,1,1,4,4,1,1,1,No,Straight / Heterosexual,1,1,2.0,147000
224,225,2,2,1,1,3,5,14,2,1,No,Straight / Heterosexual,4,1,1.0,59050
225,226,2,2,2,1,4,1,1,1,2,No,Straight / Heterosexual,1,1,2.0,101000
228,229,2,2,1,7,2,8,1,1,1,No,Straight / Heterosexual,1,1,3.0,120000
232,233,1,2,1,7,5,5,1,1,2,No,Prefer not to say,1,1,3.0,160000
233,234,2,2,1,1,2,4,1,2,2,No,Straight / Heterosexual,8,1,0.0,175000
243,244,2,2,2,2,5,9,4,1,1,No,Straight / Heterosexual,4,1,3.0,68252
247,248,2,2,2,1,5,8,1,1,1,No,Straight / Heterosexual,1,1,4.0,238257
254,255,2,2,1,5,3,7,3,5,1,No,Straight / Heterosexual,1,1,0.0,75507
258,259,2,2,2,2,2,4,6,2,1,No,Straight / Heterosexual,2,1,0.0,27756
261,262,2,2,3,1,2,10,14,5,1,No,Straight / Heterosexual,1,1,0.0,27641
266,267,2,2,1,2,2,4,21,2,1,No,Straight / Heterosexual,2,1,1.0,114324
271,272,2,2,2,1,3,7,14,2,1,No,Straight / Heterosexual,1,1,1.0,96742
274,275,2,1,1,4,5,8,14,1,1,No,Straight / Heterosexual,1,1,4.0,125639
276,277,2,2,2,1,3,8,14,5,1,No,Prefer not to say,5,1,0.0,42089
277,278,2,2,2,1,4,1,10,2,1,No,Straight / Heterosexual,4,1,2.0,93846
278,279,2,2,2,1,1,4,1,2,1,No,Straight / Heterosexual,9,1,0.0,67000
280,281,2,2,2,1,5,5,1,1,1,No,Straight / Heterosexual,1,1,3.0,238257
292,293,2,2,2,1,3,5,16,2,1,No,Straight / Heterosexual,2,1,1.0,71916
296,297,2,2,2,2,3,1,3,2,1,No,Bisexual;Straight / Heterosexual,1,1,1.0,70276
297,298,2,2,2,2,5,4,3,1,1,No,Straight / Heterosexual,2,1,2.0,140551
298,299,2,2,2,2,2,1,6,2,1,No,Straight / Heterosexual,2,1,1.0,41628
307,308,2,2,1,1,4,7,1,1,1,No,Straight / Heterosexual,1,1,4.0,206000
308,309,2,2,1,1,2,4,1,2,1,No,Straight / Heterosexual,1,1,1.0,238257
312,313,2,2,2,1,1,4,1,1,1,No,Straight / Heterosexual,1,1,2.0,45000
315,316,2,2,2,1,2,4,1,2,1,No,Gay or Lesbian,1,1,0.0,130000
317,318,2,2,1,1,4,8,1,1,1,No,Straight / Heterosexual,1,1,3.0,155000
318,319,2,2,2,8,2,9,23,2,1,No,Straight / Heterosexual,2,1,1.0,38392
