,ResponseId,MainBranch,Employment,RemoteWork,EdLevel,YearsCode,OrgSize,Country,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,WorkExp,ConvertedCompYearly
23729,23730,2,2,3,3,1,4,15,5,1,No,Straight / Heterosexual,2,1,0.0,12792
23731,23732,2,2,1,4,2,4,2,2,1,No,Straight / Heterosexual,2,1,1.0,106644
23736,23737,2,2,2,1,2,5,28,5,1,No,Straight / Heterosexual,2,1,0.0,238257
23742,23743,2,2,2,2,4,8,31,2,1,No,Straight / Heterosexual,4,1,2.0,56304
23743,23744,2,2,1,1,2,5,18,2,1,No,Straight / Heterosexual,13,1,1.0,18576
23752,23753,2,2,2,1,2,5,18,2,1,No,Straight / Heterosexual,13,1,1.0,34822
23753,23754,2,2,3,1,2,2,49,2,2,No,Queer,6,1,0.0,24108
23760,23761,2,1,2,1,5,1,3,4,1,No,Straight / Heterosexual,7,1,4.0,117126
23762,23763,2,2,2,4,2,1,2,5,1,No,Straight / Heterosexual,2,1,0.0,17916
23768,23769,2,1,1,1,5,1,14,1,1,No,Straight / Heterosexual,4,1,2.0,238257
23775,23776,2,2,2,1,5,2,20,3,1,No,Straight / Heterosexual,2,1,4.0,22395
23787,23788,2,2,1,5,3,4,4,2,1,No,Straight / Heterosexual,2,1,2.0,76783
23790,23791,2,1,2,5,2,8,3,5,1,No,Straight / Heterosexual,1,1,1.0,126965
23794,23795,2,1,1,8,2,4,76,2,1,No,Straight / Heterosexual,4,1,1.0,89580
23798,23799,1,2,3,6,4,4,2,2,1,No,Straight / Heterosexual,4,1,1.0,43724
23800,23801,2,2,1,1,1,4,18,5,1,No,Straight / Heterosexual,13,1,0.0,15477
23801,23802,2,1,1,7,2,4,48,2,1,No,Bisexual,2,1,1.0,72000
23806,23807,2,2,2,1,3,2,2,2,1,No,Straight / Heterosexual,2,1,1.0,40525
23809,23810,2,2,2,4,2,8,58,2,1,No,Straight / Heterosexual,2,1,1.0,46895
23814,23815,2,2,2,1,3,5,31,2,1,No,Straight / Heterosexual,2,1,2.0,72518
23817,23818,2,2,3,5,1,9,36,5,1,No,Prefer not to say,15,1,0.0,2052
23819,23820,2,2,2,1,2,5,61,5,1,No,Straight / Heterosexual,15,1,0.0,8496
23821,23822,2,2,2,2,5,5,16,1,1,No,Straight / Heterosexual,2,1,3.0,73140
23828,23829,2,2,1,1,5,8,1,1,1,No,Straight / Heterosexual,1,1,2.0,238257
23831,23832,2,2,2,1,3,4,59,3,1,No,Straight / Heterosexual,2,1,4.0,94104
23833,23834,2,2,2,7,2,1,4,2,1,No,Straight / Heterosexual,2,1,1.0,42648
23839,23840,2,2,1,2,2,5,17,2,1,No,Straight / Heterosexual,4,1,0.0,18120
23842,23843,2,2,2,1,3,8,1,2,1,No,Straight / Heterosexual,9,1,1.0,238257
23846,23847,2,2,3,1,2,1,30,5,1,No,Straight / Heterosexual,16,1,0.0,5184
23853,23854,2,2,3,1,1,4,12,5,1,No,Straight / Heterosexual,2,1,0.0,44892
23859,23860,2,2,2,2,3,4,28,2,1,No,Straight / Heterosexual,2,1,1.0,111129
23864,23865,2,2,1,1,2,9,39,2,1,No,Straight / Heterosexual,6,1,1.0,40000
23865,23866,2,2,2,1,3,1,1,2,1,No,Straight / Heterosexual,1,1,2.0,130000
23868,23869,2,2,2,1,4,8,70,2,1,No,Straight / Heterosexual,11,1,0.0,20316
23869,23870,1,2,1,5,3,4,4,2,4,Prefer not to say,Bisexual,2,1,1.0,48523
23874,23875,2,2,3,5,4,2,29,2,1,No,Straight / Heterosexual,4,1,2.0,154989
23877,23878,2,2,3,2,3,5,48,2,2,No,Straight / Heterosexual;Prefer to self-describe:,6,1,1.0,30719
23888,23889,2,1,1,1,4,7,1,1,1,No,Straight / Heterosexual,3,1,3.0,210000
23889,23890,1,2,2,2,2,1,4,1,1,No,Straight / Heterosexual,2,1,2.0,74651
23904,23905,2,3,3,5,5,2,4,4,1,No,Straight / Heterosexual,2,1,4.0,85315
23908,23909,2,2,2,2,3,5,17,2,1,No,Straight / Heterosexual,4,1,0.0,24072
23925,23926,2,2,2,1,3,8,18,2,1,No,Straight / Heterosexual,13,1,1.0,16766
23934,23935,2,4,1,4,3,9,24,5,1,No,Straight / Heterosexual,2,13,1.0,5760
23936,23937,2,2,3,2,2,4,28,2,1,No,Straight / Heterosexual,4,1,0.0,75732
23937,23938,2,2,2,1,3,9,19,1,1,No,Straight / Heterosexual,2,1,2.0,31992
23961,23962,2,2,2,1,2,3,18,2,1,No,Straight / Heterosexual,13,1,1.0,43851
23963,23964,2,2,1,2,2,5,1,2,1,No,Straight / Heterosexual,1,1,1.0,81000
23970,23971,2,2,1,4,4,4,4,1,1,No,Straight / Heterosexual,4,1,3.0,100245
23972,23973,2,2,2,1,1,7,58,2,1,No,Straight / Heterosexual,4,1,0.0,12816
23973,23974,2,2,3,1,2,9,123,2,1,No,Straight / Heterosexual,7,1,0.0,3936
23976,23977,1,2,3,1,2,7,4,1,1,No,Bisexual,2,1,1.0,76788
23977,23978,2,2,1,9,2,5,46,1,1,No,Straight / Heterosexual,2,1,1.0,51948
23980,23981,2,2,2,6,3,3,50,2,1,No,Straight / Heterosexual,2,1,1.0,7512
23984,23985,2,2,2,1,2,7,36,2,1,No,Straight / Heterosexual,15,1,0.0,5736
23985,23986,2,2,1,1,2,8,64,5,1,No,Straight / Heterosexual,8,1,0.0,39252
23986,23987,2,2,1,2,5,1,37,3,1,No,Straight / Heterosexual,2,1,1.0,36552
23995,23996,2,2,2,2,5,9,9,3,1,No,Prefer to self-describe:,2,5,4.0,111996
23997,23998,2,2,1,1,4,1,1,1,1,No,Straight / Heterosexual,1,1,2.0,137000
24008,24009,2,3,1,1,1,9,59,2,2,No,Straight / Heterosexual,15,1,0.0,45483
24017,24018,2,2,2,1,2,8,18,5,1,No,Straight / Heterosexual,13,1,0.0,7738
24023,24024,2,6,1,4,2,2,4,5,1,No,Straight / Heterosexual,4,1,1.0,53300
24024,24025,2,2,2,1,1,9,91,5,1,No,Straight / Heterosexual,15,1,0.0,4644
24026,24027,2,2,2,5,3,7,53,2,1,No,Straight / Heterosexual,2,1,2.0,43512
24039,24040,2,2,2,4,2,9,4,5,6,"Or, in your own words:",Prefer to self-describe:;Queer,4,1,0.0,43764
24041,24042,2,2,2,2,2,1,18,2,1,No,Straight / Heterosexual,13,1,1.0,25794
24042,24043,2,2,2,2,3,5,21,2,1,No,Straight / Heterosexual,4,1,1.0,64955
24046,24047,2,2,2,2,5,5,28,1,1,No,Gay or Lesbian,1,1,1.0,108408
24075,24076,2,1,1,1,2,9,80,2,1,No,Straight / Heterosexual,7,1,1.0,13468
24076,24077,2,2,1,2,3,1,36,2,1,No,Straight / Heterosexual,15,1,1.0,109140
24081,24082,2,2,3,2,4,4,2,2,1,No,Straight / Heterosexual,4,1,1.0,23040
24088,24089,2,2,1,5,2,10,15,2,1,No,Bisexual,4,1,0.0,51189
24096,24097,2,2,2,1,2,1,29,2,1,No,Straight / Heterosexual,1,1,0.0,53078
24101,24102,2,2,1,2,3,8,4,1,1,No,Straight / Heterosexual,4,1,2.0,238257
24103,24104,2,2,1,1,2,2,1,2,1,No,Straight / Heterosexual,1,1,1.0,60000
24105,24106,2,2,1,7,2,9,1,1,1,No,Straight / Heterosexual,1,1,2.0,100000
24108,24109,2,2,1,1,4,1,19,4,1,No,Straight / Heterosexual,2,1,3.0,57588
24111,24112,2,2,3,1,3,1,75,1,1,No,Straight / Heterosexual,10,1,1.0,71239
24112,24113,2,2,3,1,3,9,7,2,2,Yes,Bisexual,2,1,2.0,161424
24115,24116,2,2,3,1,1,1,18,5,1,No,Straight / Heterosexual,12,1,0.0,6449
24117,24118,2,1,1,2,2,1,37,1,1,No,Straight / Heterosexual,2,1,1.0,51600
24124,24125,2,2,1,1,1,1,87,2,1,No,Straight / Heterosexual,6,1,0.0,46920
24131,24132,2,2,2,2,3,4,58,2,1,No,Straight / Heterosexual,4,1,1.0,39264
24138,24139,2,2,2,1,2,8,29,5,1,No,Straight / Heterosexual,4,1,0.0,70771
24142,24143,2,2,2,5,3,4,18,2,1,No,Straight / Heterosexual,13,1,0.0,11607
24147,24148,2,2,2,2,2,4,14,2,1,No,Straight / Heterosexual,2,1,1.0,62820
24150,24151,2,2,2,1,2,1,14,5,2,Yes,Queer,1,1,0.0,23243
24153,24154,2,2,2,9,2,2,73,1,1,No,Prefer not to say,6,1,2.0,65364
24159,24160,2,2,1,4,5,5,10,1,1,No,Straight / Heterosexual,2,1,3.0,104511
24167,24168,2,2,2,1,2,1,14,2,1,No,Straight / Heterosexual,1,1,1.0,94230
24169,24170,2,2,1,1,3,1,19,1,1,No,Straight / Heterosexual,2,1,2.0,89580
24171,24172,2,2,2,1,2,1,1,2,1,No,Straight / Heterosexual,6,1,0.0,150000
24172,24173,2,2,2,1,4,9,74,2,8,No,Straight / Heterosexual,4,1,1.0,67212
24176,24177,2,2,2,1,3,7,49,2,1,No,Straight / Heterosexual,15,1,1.0,48228
24180,24181,2,2,3,1,2,8,29,2,1,No,Straight / Heterosexual,1,1,1.0,145081
24184,24185,2,2,2,1,3,4,1,3,1,No,Straight / Heterosexual,1,1,4.0,80000
24188,24189,1,2,2,1,2,8,75,2,1,No,Straight / Heterosexual,15,1,0.0,238257
24193,24194,2,1,2,1,4,7,43,2,1,No,Straight / Heterosexual,2,1,2.0,140772
24194,24195,2,2,1,2,5,2,1,3,1,No,Straight / Heterosexual,1,13,4.0,125000
24195,24196,2,2,2,5,2,8,53,2,1,No,Straight / Heterosexual,4,1,1.0,58654
24197,24198,2,2,1,1,5,7,41,3,1,No,Straight / Heterosexual,8,1,4.0,126444
24202,24203,2,2,1,5,2,2,25,2,1,No,Straight / Heterosexual,4,1,0.0,34140
24204,24205,2,2,2,1,3,8,7,2,1,No,Straight / Heterosexual,4,1,1.0,136308
24207,24208,2,7,2,1,4,1,127,2,1,No,Straight / Heterosexual,1,1,3.0,49332
24209,24210,2,1,1,7,3,1,50,2,1,No,Straight / Heterosexual,18,1,1.0,18792
24210,24211,2,2,2,6,5,4,35,3,1,No,Straight / Heterosexual,7,1,3.0,238257
24212,24213,2,2,2,5,4,9,4,2,1,No,Straight / Heterosexual,2,1,1.0,42657
24214,24215,2,2,3,2,5,8,12,1,1,No,Straight / Heterosexual,2,1,3.0,141685
24218,24219,2,2,2,1,3,4,4,2,1,No,Straight / Heterosexual,14,1,1.0,90647
24225,24226,2,2,1,1,5,3,1,1,1,No,Queer,4,1,3.0,238257
24226,24227,2,2,3,1,1,1,66,2,1,No,Straight / Heterosexual,15,1,0.0,3288
24227,24228,2,2,2,1,5,4,9,3,1,No,Straight / Heterosexual,2,1,4.0,124447
24235,24236,2,2,1,1,5,1,1,4,1,No,Straight / Heterosexual,1,1,4.0,238257
24244,24245,2,2,1,1,4,8,11,1,1,No,Straight / Heterosexual,14,1,3.0,104700
24246,24247,2,2,2,1,1,5,28,2,1,No,Straight / Heterosexual,4,1,0.0,43020
24250,24251,2,2,2,1,3,1,18,2,1,No,Straight / Heterosexual,13,1,0.0,3864
24251,24252,2,2,3,1,3,3,18,5,1,No,Straight / Heterosexual,13,1,0.0,37296
24252,24253,2,2,1,1,4,1,59,1,1,No,Straight / Heterosexual,1,1,2.0,185000
24254,24255,2,2,1,1,5,10,1,1,1,No,Straight / Heterosexual,6,2,4.0,130000
24259,24260,2,2,2,2,2,3,43,1,1,No,Gay or Lesbian,2,1,3.0,58654
24263,24264,2,1,1,1,3,8,119,1,1,No,Straight / Heterosexual,8,1,3.0,17556
24265,24266,2,1,1,5,4,3,6,2,1,No,Straight / Heterosexual,4,1,1.0,69318
24275,24276,2,2,2,2,4,1,35,4,1,No,Straight / Heterosexual,2,4,4.0,111693
24286,24287,2,2,1,1,5,1,1,1,1,No,Straight / Heterosexual,1,1,4.0,208000
24296,24297,2,2,2,5,2,4,9,1,1,No,Straight / Heterosexual,2,4,3.0,82964
24305,24306,2,2,2,2,2,5,12,2,1,No,Straight / Heterosexual,2,1,1.0,516
24311,24312,2,2,1,6,5,5,1,1,1,No,Straight / Heterosexual,1,7,1.0,238257
24312,24313,2,2,1,1,2,8,4,2,1,No,Straight / Heterosexual,2,1,0.0,51192
24319,24320,2,2,2,4,2,4,7,2,1,No,Straight / Heterosexual,6,1,1.0,125544
24322,24323,2,2,1,1,2,2,6,2,1,No,Straight / Heterosexual,1,1,1.0,124872
24324,24325,2,2,1,1,2,2,28,5,1,No,Straight / Heterosexual,4,1,0.0,51624
24325,24326,2,2,2,2,4,5,25,1,1,No,Straight / Heterosexual,1,1,2.0,101151
24330,24331,2,3,1,5,3,2,3,2,1,No,Straight / Heterosexual,1,1,1.0,23424
24331,24332,1,2,1,1,4,7,41,1,1,No,Straight / Heterosexual,8,1,2.0,36132
24333,24334,1,3,3,1,1,1,80,2,1,No,Straight / Heterosexual,7,1,0.0,14436
24337,24338,2,2,1,6,4,1,4,2,1,No,Straight / Heterosexual,2,1,1.0,98112
24340,24341,2,2,1,1,2,4,46,2,1,No,Straight / Heterosexual,1,1,2.0,31176
24344,24345,2,2,3,5,1,7,4,5,1,No,Straight / Heterosexual,2,1,0.0,45857
24360,24361,2,3,1,7,2,9,14,2,1,No,Straight / Heterosexual,2,1,1.0,70000
24373,24374,2,2,2,5,3,5,2,3,1,No,Straight / Heterosexual,2,8,2.0,238257
24374,24375,2,2,3,1,3,1,4,2,1,No,Straight / Heterosexual,2,1,1.0,107710
24375,24376,2,2,2,2,3,1,10,2,2,No,Bisexual;Queer,2,1,2.0,63984
24376,24377,2,2,3,2,2,1,18,2,1,No,Prefer not to say,13,1,1.0,18056
24381,24382,2,1,2,2,5,5,1,4,1,No,Straight / Heterosexual,3,1,4.0,113000
24391,24392,2,2,2,1,5,5,35,1,1,No,Straight / Heterosexual,4,1,3.0,238257
24397,24398,2,2,1,4,2,4,16,5,1,No,Straight / Heterosexual,4,1,1.0,40224
24404,24405,2,2,3,1,4,10,28,2,1,No,Prefer to self-describe:,2,1,0.0,51624
24406,24407,2,2,1,5,1,1,46,2,1,No,Straight / Heterosexual,4,1,0.0,12468
24411,24412,2,2,2,2,3,4,45,2,1,No,Straight / Heterosexual,2,1,0.0,39108
24416,24417,2,2,1,1,2,9,87,2,1,No,Straight / Heterosexual,6,1,1.0,3828
24418,24419,2,2,2,2,5,5,12,4,1,No,Straight / Heterosexual,2,1,4.0,63986
24422,24423,2,2,3,1,2,5,18,2,1,No,Straight / Heterosexual,13,1,0.0,15477
24423,24424,2,2,1,2,5,5,1,1,1,No,Straight / Heterosexual,15,1,4.0,155000
24425,24426,1,2,2,1,5,7,3,3,1,No,Straight / Heterosexual,1,1,4.0,78084
24440,24441,2,2,1,1,2,1,96,2,1,No,Straight / Heterosexual,7,1,1.0,15431
24444,24445,2,2,1,1,4,8,64,2,1,No,Straight / Heterosexual,14,1,2.0,27652
24455,24456,2,2,2,1,2,8,33,2,1,No,Straight / Heterosexual,4,1,1.0,27780
24462,24463,2,2,2,2,2,1,35,2,1,No,Straight / Heterosexual,2,1,1.0,113761
24476,24477,2,2,2,1,2,9,18,2,1,No,Straight / Heterosexual,13,1,0.0,238257
24486,24487,2,2,2,1,3,1,1,2,1,No,Straight / Heterosexual,1,1,1.0,110000
24490,24491,2,2,2,5,4,1,49,2,1,No,Straight / Heterosexual,6,1,1.0,90768
24493,24494,2,2,2,1,3,8,59,1,1,No,Straight / Heterosexual,16,1,2.0,32936
24496,24497,2,2,1,2,2,5,15,5,1,No,Straight / Heterosexual,2,1,0.0,18663
24498,24499,2,2,2,1,2,2,43,5,1,No,Straight / Heterosexual,2,1,0.0,33276
24500,24501,2,2,1,5,3,8,66,2,1,No,Straight / Heterosexual,18,1,2.0,49020
24505,24506,2,2,2,1,4,1,2,1,2,No,Prefer not to say,2,1,3.0,31992
24506,24507,2,2,1,1,2,4,43,2,1,No,Straight / Heterosexual,4,1,0.0,33912
24507,24508,2,1,1,1,4,10,49,2,1,No,Straight / Heterosexual;Prefer to self-describe:,6,1,1.0,39708
24510,24511,2,2,2,7,5,5,1,1,1,No,Straight / Heterosexual,1,1,3.0,238257
24511,24512,2,2,1,1,5,1,2,1,1,No,Straight / Heterosexual,4,1,4.0,49056
24519,24520,2,2,2,2,3,5,1,1,1,No,Straight / Heterosexual,4,1,2.0,238257
24521,24522,2,2,1,1,3,5,18,2,1,No,Straight / Heterosexual,13,1,1.0,20636
24526,24527,2,6,1,2,4,9,24,2,1,No,Straight / Heterosexual,2,1,2.0,21756
24530,24531,2,6,1,2,3,1,23,2,1,No,Straight / Heterosexual,2,1,1.0,26661
24539,24540,2,2,2,2,2,8,18,2,1,No,Straight / Heterosexual,15,1,1.0,59327
24543,24544,2,2,1,1,4,2,1,2,1,No,Straight / Heterosexual,1,1,1.0,238257
24547,24548,1,2,1,5,2,7,1,2,1,No,Straight / Heterosexual,1,1,1.0,140000
24548,24549,2,2,2,1,5,5,10,3,1,No,Straight / Heterosexual,4,1,4.0,71984
24551,24552,2,3,1,1,3,9,17,2,1,No,Straight / Heterosexual,2,1,2.0,90588
24554,24555,2,2,1,1,4,1,1,3,1,No,Straight / Heterosexual,4,1,3.0,238257
24557,24558,2,2,3,2,2,8,15,5,1,No,Straight / Heterosexual,2,1,0.0,28794
24559,24560,2,2,1,4,2,1,15,5,1,No,Straight / Heterosexual,2,1,0.0,21636
24561,24562,2,2,3,1,3,8,18,2,1,No,Straight / Heterosexual,13,1,1.0,56748
24570,24571,2,1,2,2,5,1,24,3,1,No,Straight / Heterosexual,2,1,4.0,89581
24574,24575,2,7,2,2,5,8,46,2,1,No,Straight / Heterosexual,2,1,2.0,90396
24576,24577,2,2,1,5,4,4,1,1,1,No,Straight / Heterosexual,1,1,3.0,87500
24578,24579,1,2,3,2,2,2,76,2,1,No,Straight / Heterosexual,2,1,1.0,36552
24579,24580,2,2,1,1,5,5,1,3,1,No,Straight / Heterosexual,1,1,4.0,215000
24580,24581,2,2,2,2,2,7,102,2,1,No,Straight / Heterosexual,2,1,1.0,26700
24597,24598,2,2,2,1,5,7,4,1,1,No,Straight / Heterosexual,2,1,4.0,106644
24600,24601,2,2,2,2,5,8,5,1,1,No,Straight / Heterosexual,1,1,4.0,133305
24602,24603,2,3,1,4,2,1,33,2,1,No,Straight / Heterosexual,2,1,0.0,57588
24603,24604,2,2,1,2,4,5,6,1,1,No,Straight / Heterosexual,4,1,2.0,83256
24607,24608,2,2,2,1,3,1,14,2,1,No,Straight / Heterosexual,4,1,1.0,96742
24610,24611,2,2,2,2,5,7,58,1,1,No,Straight / Heterosexual,2,1,3.0,45804
24612,24613,2,2,1,1,2,3,3,5,1,No,Straight / Heterosexual,4,1,0.0,60125
24613,24614,2,2,1,2,2,5,1,3,1,No,Straight / Heterosexual,1,1,0.0,238257
24617,24618,2,6,1,2,5,4,21,3,1,No,Straight / Heterosexual,4,1,3.0,46764
24620,24621,2,2,2,1,5,8,47,1,1,No,Straight / Heterosexual,2,1,4.0,68736
24623,24624,2,2,2,5,1,1,17,5,1,No,Straight / Heterosexual,4,1,0.0,14496
24626,24627,2,2,3,1,1,4,18,5,1,No,Straight / Heterosexual,13,1,0.0,5804
24634,24635,1,2,1,1,4,7,1,1,1,No,Straight / Heterosexual,1,1,2.0,200000
24651,24652,2,2,1,4,1,1,18,5,1,No,Straight / Heterosexual,13,1,0.0,4643
24655,24656,2,2,1,2,5,7,41,1,1,No,Straight / Heterosexual,8,1,3.0,56199
24666,24667,2,2,2,1,4,4,100,3,1,No,Straight / Heterosexual,2,1,4.0,6912
24668,24669,2,2,2,1,2,4,75,2,1,No,Straight / Heterosexual,10,1,0.0,21372
24673,24674,2,2,1,2,1,1,64,1,2,No,Straight / Heterosexual,8,1,0.0,7548
24675,24676,2,2,2,1,4,5,18,1,1,No,Straight / Heterosexual,12,1,2.0,64486
24683,24684,2,2,1,1,3,1,4,2,1,No,Straight / Heterosexual,4,1,0.0,63986
24688,24689,2,1,1,7,5,2,14,1,1,No,Straight / Heterosexual,2,1,4.0,22620
24695,24696,2,1,1,1,2,1,11,2,1,No,Straight / Heterosexual,19,1,1.0,100000
24697,24698,2,3,2,1,2,2,1,2,1,No,Straight / Heterosexual,1,1,0.0,12000
24700,24701,2,5,2,9,2,5,46,2,1,No,Straight / Heterosexual,2,1,1.0,5195
24703,24704,2,2,3,1,2,1,7,2,1,No,Straight / Heterosexual,1,1,1.0,125544
24704,24705,2,4,2,4,1,2,16,5,1,No,Straight / Heterosexual,2,1,0.0,43884
24709,24710,2,2,2,1,2,8,76,2,1,No,Straight / Heterosexual,1,1,0.0,53322
24711,24712,2,2,1,5,2,4,3,1,1,No,Straight / Heterosexual,2,1,1.0,167881
24714,24715,2,2,3,7,4,9,70,1,1,No,Straight / Heterosexual,6,1,2.0,30468
24730,24731,2,2,1,4,3,1,25,1,1,No,Straight / Heterosexual,1,1,2.0,60696
24737,24738,2,1,1,1,4,4,17,1,1,No,Straight / Heterosexual,2,1,3.0,43150
24739,24740,2,2,2,5,2,5,35,5,1,No,Straight / Heterosexual,2,1,1.0,238257
24741,24742,2,2,2,1,2,5,1,2,1,No,Straight / Heterosexual;Prefer to self-describe:,1,1,0.0,191100
24744,24745,2,2,1,6,5,1,1,1,1,No,Straight / Heterosexual;Queer,1,1,1.0,120000
24746,24747,2,2,1,1,2,1,18,2,1,No,Straight / Heterosexual,13,1,0.0,32243
24752,24753,2,2,1,3,4,7,4,2,1,No,Straight / Heterosexual,4,1,1.0,70385
24753,24754,2,2,2,1,2,1,1,2,1,No,Straight / Heterosexual,1,1,0.0,57600
24759,24760,2,2,1,5,2,4,1,2,1,No,Straight / Heterosexual,2,1,0.0,238257
24760,24761,2,2,2,1,1,1,3,2,1,No,Straight / Heterosexual,3,1,1.0,117126
24761,24762,2,2,2,2,3,9,12,2,1,No,Straight / Heterosexual,2,1,1.0,44790
24762,24763,2,2,2,1,2,3,1,5,1,No,Straight / Heterosexual,1,1,0.0,93500
24765,24766,2,2,1,1,2,1,69,5,1,No,Straight / Heterosexual,17,1,0.0,60000
24766,24767,2,2,2,1,3,5,35,2,1,No,Straight / Heterosexual,4,1,1.0,149958
24767,24768,2,1,3,9,3,2,57,2,1,No,Straight / Heterosexual,8,1,1.0,12000
24769,24770,2,3,1,2,5,8,3,1,1,No,Straight / Heterosexual,1,1,3.0,117126
24770,24771,2,2,2,1,1,2,18,5,1,No,Straight / Heterosexual,17,1,0.0,2579
24776,24777,2,3,1,1,4,4,64,2,1,No,Straight / Heterosexual,8,1,1.0,42000
24781,24782,2,2,2,1,2,4,37,2,1,No,Straight / Heterosexual,2,1,0.0,38400
24792,24793,2,2,1,1,2,4,18,2,1,No,Straight / Heterosexual,13,1,1.0,25214
24794,24795,2,2,2,5,5,5,14,1,1,No,Straight / Heterosexual,4,1,4.0,238257
24801,24802,2,2,1,5,2,7,1,2,1,No,Straight / Heterosexual,1,1,1.0,95000
24808,24809,2,2,1,2,3,5,37,2,2,No,Straight / Heterosexual,2,1,1.0,1344
24823,24824,2,2,3,1,3,4,58,2,1,No,Straight / Heterosexual,2,1,0.0,32712
24839,24840,2,2,2,5,5,1,4,3,1,No,Prefer not to say,4,1,3.0,85315
24848,24849,2,2,1,2,2,1,37,1,1,No,Straight / Heterosexual,2,1,1.0,50400
24850,24851,2,2,2,2,1,5,12,5,1,No,Straight / Heterosexual,2,1,0.0,36899
24861,24862,2,2,2,1,5,2,7,3,1,No,Straight / Heterosexual,11,1,4.0,29893
24863,24864,2,2,2,2,3,4,72,1,1,No,Straight / Heterosexual,15,1,2.0,11664
24866,24867,2,3,1,2,3,3,6,2,1,No,Straight / Heterosexual,4,1,1.0,44400
24867,24868,2,2,1,1,5,8,1,1,1,No,Straight / Heterosexual,1,1,2.0,238257
24869,24870,2,2,1,2,2,2,37,1,1,No,Straight / Heterosexual,1,1,1.0,4056
24885,24886,2,6,1,1,2,8,6,2,1,No,Straight / Heterosexual,4,1,0.0,37644
24896,24897,2,3,1,1,3,1,71,2,1,No,Straight / Heterosexual,2,1,2.0,74460
24900,24901,2,1,1,1,4,1,85,2,1,No,Straight / Heterosexual,2,1,1.0,51189
24913,24914,1,2,1,7,5,4,1,1,1,No,Straight / Heterosexual,1,1,4.0,165000
24916,24917,2,2,1,1,4,8,10,1,1,No,Straight / Heterosexual,1,1,2.0,71451
24917,24918,2,2,3,1,1,1,18,5,1,No,Straight / Heterosexual,13,1,0.0,2316
24926,24927,2,2,1,2,5,1,1,1,1,No,Bisexual,3,1,3.0,160000
24929,24930,2,2,1,1,5,8,1,1,1,No,Straight / Heterosexual,1,1,3.0,191000
24938,24939,2,2,1,1,3,2,18,2,1,No,Straight / Heterosexual,13,1,1.0,51852
24943,24944,2,2,2,1,4,2,3,1,1,No,Straight / Heterosexual,3,1,4.0,238257
24945,24946,2,2,3,2,2,5,12,5,1,Prefer not to say,Prefer not to say,2,3,0.0,38392
24954,24955,2,2,1,1,2,1,4,1,1,No,Prefer not to say,18,3,1.0,57588
24958,24959,2,2,2,5,3,4,4,2,1,No,Bisexual,4,1,1.0,61853
24960,24961,2,2,1,5,2,4,6,5,1,No,Straight / Heterosexual,2,1,0.0,29412
24970,24971,2,2,2,2,3,4,12,1,1,No,Straight / Heterosexual,13,1,0.0,74651
24973,24974,2,2,2,4,5,7,35,1,1,No,Straight / Heterosexual,2,1,3.0,124103
24988,24989,2,2,1,1,5,4,1,3,1,No,Straight / Heterosexual,1,1,4.0,205000
24989,24990,2,2,1,2,5,2,46,1,1,No,Straight / Heterosexual,4,1,3.0,33600
24995,24996,2,2,2,1,5,7,1,1,1,No,Straight / Heterosexual,1,1,2.0,223000
24998,24999,2,2,2,5,1,4,7,5,1,No,Straight / Heterosexual,6,1,0.0,96852
24999,25000,2,2,1,2,5,5,4,1,1,No,Straight / Heterosexual,4,1,3.0,126906
25001,25002,2,2,1,2,3,1,32,2,3,Prefer not to say,Prefer not to say,5,3,1.0,30300
25004,25005,2,2,1,2,3,1,18,2,1,No,Straight / Heterosexual,13,1,1.0,23215
25007,25008,2,2,2,2,2,8,46,2,1,No,Straight / Heterosexual,4,1,1.0,54240
25016,25017,2,2,1,1,3,1,1,2,1,No,Straight / Heterosexual,1,1,1.0,125000
25017,25018,2,2,2,1,3,8,35,2,2,No,Straight / Heterosexual,4,1,2.0,125034
25020,25021,2,2,1,2,5,1,12,1,1,No,Straight / Heterosexual,2,5,3.0,138637
25021,25022,1,2,1,1,1,8,1,2,1,No,Straight / Heterosexual,1,1,1.0,45000
25029,25030,2,3,1,2,4,1,104,1,1,No,Straight / Heterosexual,2,1,3.0,66000
25032,25033,2,2,1,1,1,7,14,2,1,No,Straight / Heterosexual,4,1,0.0,75384
25034,25035,2,2,2,1,3,5,1,2,1,No,Straight / Heterosexual,1,1,1.0,115000
25035,25036,2,2,1,1,2,2,3,2,1,No,Straight / Heterosexual,6,1,1.0,49193
25039,25040,2,2,2,1,2,5,18,5,1,No,Straight / Heterosexual,17,1,0.0,28374
25040,25041,2,2,3,4,3,1,53,5,1,No,Straight / Heterosexual,4,1,0.0,42228
25052,25053,2,2,2,2,3,4,45,2,1,No,Straight / Heterosexual,2,1,1.0,30600
25053,25054,2,2,2,4,1,9,7,2,1,No,Straight / Heterosexual,1,1,0.0,64572
25056,25057,2,2,3,6,5,9,10,4,1,No,Straight / Heterosexual,2,1,4.0,106644
25058,25059,2,1,2,5,3,1,4,2,1,No,Bisexual;Straight / Heterosexual,2,1,1.0,56304
25059,25060,2,4,2,2,4,4,4,2,1,No,Straight / Heterosexual,2,1,0.0,48624
25062,25063,2,2,1,1,5,4,1,3,1,"Or, in your own words:",Straight / Heterosexual,1,1,0.0,110000
